url,title,description,h1,lead,service,category,country_hint,problems,fixes,errors,faq1_q,faq1_a,faq2_q,faq2_a,extra_html,noindex
/guide/captive-portal-bypass-2025/,"Wi-Fi просит авторизацию (captive portal) — как войти и включить VPN","Что делать, если Wi-Fi перекидывает на страницу входа и интернет не работает. Пошаговый алгоритм входа и последующее включение VPN.","Как обойти captive portal","Рабочая схема для ТЦ/аэропортов/университетов: входим в портал, фиксируем DNS и безопасно включаем VPN.","Wi-Fi captive portal","network","—","Редирект на страницу входа|После логина интернета нет|VPN не подключается","Отключите VPN на время входа|Откройте http://neverssl.com|Проверьте время/дата|Включите DoH после входа","Login required|No internet after login","Почему портал «режет» VPN?","Пока нет авторизации, шифрованный трафик/неизвестные порты блокируются.","Можно ли не отключать VPN?","Иногда помогает TCP:443, но чаще проще войти без VPN и включить его после.","",false
/guide/fix-err-connection-reset-2025/,"ERR_CONNECTION_RESET — причины и быстрые решения (2025)","Сайты внезапно перестали открываться? Разбираем причины сброса соединения и даем пошаговые фиксы на ПК и телефоне.","ERR_CONNECTION_RESET — как исправить","Пошаговая проверка: DNS, протокол VPN, кэш браузера и маршрутизация.","ERR_CONNECTION_RESET","errors","—","Сайты не грузятся|Видео стопорится|Случайные обрывы|Только мобильный работает","Включите DoH/DoT|Смените сервер/ASN в VPN|Очистите кэш/куки|Перезапустите сетевой стек","ERR_CONNECTION_RESET|Timed out","Нужно ли менять провайдера DNS?","Да, часто помогает DoH/DoT к надёжным резолверам.","Поможет ли мобильный как тест?","Да — сравните маршруты: если на LTE ок, проблема в линии/маршрутах провайдера.","",false
/guide/fix-ssl-certificate-error-2025/,"Ошибка SSL/сертификата — что делать на Windows/macOS/Android/iOS","NET::ERR_CERT_AUTHORITY_INVALID и похожие: почему это случается и как починить безопасно.","Ошибка SSL — как исправить","Синхронизация времени, сброс кэша, обновление корневых сертификатов и аккуратные настройки VPN.","SSL/Certificates","errors","—","NET::ERR_CERT_AUTHORITY_INVALID|ERR_SSL_PROTOCOL_ERROR|Сайт открывается только по IP","Проверьте дату/время|Обновите браузер/Widevine|Смените сервер/протокол VPN|Уберите лишние прокси","ERR_SSL_PROTOCOL_ERROR|Certificate invalid","Опасно ли игнорировать предупреждение?","Да, можно попасть на подмену трафика. Лучше устранить причину.","Как понять, что виноват VPN?","Смените сервер/ASN и проверьте другой протокол: если ошибка ушла — дело в маршруте.","",false
/guide/fix-sni-filtering-2025/,"SNI-фильтрация: как обойти блок по домену (2025)","Если сайт пингуется, но по домену не открывается — включаем обфускацию, TCP:443 и ECH/ESNI, даём реальные пресеты.","Как обойти SNI-фильтрацию","Показываем, какие протоколы/порты работают лучше и как проверить результат.","SNI filtering","network","—","Открывается по IP|По домену — «доступ ограничен»|Частичная загрузка","Включите обфускацию|OpenVPN TCP:443|WireGuard+obfs|Включите ECH (если доступно)","Access Denied|Name blocked","DoH заменяет VPN?","Нет. DoH скрывает DNS, но не защищает SNI без ECH.","Как проверить ECH?","Через test pages и devtools: ищите Encrypted ClientHello.","",false
/guide/browser-doh-setup-2025/,"DoH/DoT: включаем защищённый DNS в браузере и системе (2025)","Подробная инструкция для Chrome, Firefox, Android и iOS. Зачем это нужно и чего ожидать.","DoH/DoT — как включить","Скрываем DNS-запросы от провайдера и уменьшаем подмену трафика.","Secure DNS","howto","—","DNS_PROBE_FINISHED_NXDOMAIN|Странные редиректы|Часть сайтов не открывается","Включите DoH/DoT в браузере|Установите надёжный резолвер|Очистите DNS-кэш","DNS_PROBE_FINISHED_NXDOMAIN|Name not resolved","Это заменяет VPN?","Нет, но часто стабилизирует доступ к сайтам.","Как проверить утечки DNS?","Через dnsleaktest и встроенные индикаторы в браузере.","",false
/guide/mobile-operator-blocks-vpn-2025/,"Мобильный оператор блокирует VPN — решение для LTE/5G (2025)","Туннель не поднимается, скорость падает, обрывы? Работающие настройки для сотовой сети.","Мобильный интернет режет VPN","Рассказываем, какие протоколы и порты включить и как снизить потери скорости.","Mobile ISP","network","—","VPN не подключается|Падение скорости|Обрывы при звонках","WireGuard+obfs|OpenVPN TCP:443 как fallback|Отключите энергосбережение сети","Connection timeout|Packet loss","Стоит ли переключиться на 3G?","Иногда да — на перегруженных LTE сотах 3G стабильнее.","Нужен статический IP?","Нет, достаточно стабильного дата-центра и одного сервера.","",false
/guide/keenetic-vpn-bypass-2025/,"Keenetic: настройка обхода блокировок — VPN, DoH, маршрутизация","Готовые профили, MTU, политики маршрутов по доменам. Пошаговая настройка на прошивке KeeneticOS.","Keenetic — обход блокировок","Делаем интернет стабильным для всей квартиры через роутер.","Keenetic","router","—","Туннель не поднимается|Wi-Fi есть, интернета нет|Сайты открываются выборочно","Обновите прошивку|Правильный MTU/MSS|DoH на роутере|Policy-routing по доменам","Tunnel down|No internet","Нужен внешний VPN-провайдер?","Да, в роутере создаём профиль провайдера.","Как снизить падение скорости?","Аппаратное ускорение и корректный MTU помогают заметно.","",false
/guide/tplink-vpn-bypass-2025/,"TP-Link: как настроить VPN/DoH и обойти блокировки (2025)","Покрываем популярные модели: OpenVPN/WireGuard, DNS, частые ошибки и их исправления.","TP-Link — обход блокировок","Покажем, какие пункты меню важны и как не словить «PPPoE connected, no internet».","TP-Link","router","—","VPN не подключается|«Wi-Fi есть, интернета нет»|Ошибки PPPoE/DNS","Проверьте время/часовой пояс|Выберите корректный протокол/порт|Включите DoH","PPPoE connected no internet|Tunnel error","Работает ли L2TP?","Лучше WG/OpenVPN — L2TP часто режется.","Можно ли включить для части устройств?","Да, через гостевой SSID или правила маршрутизации.","",false
/guide/wireguard-mtu-fix-2025/,"WireGuard рвётся или медленный? MTU/MSS-fix за 5 минут","Подбор MTU, настройка MSS, тесты ping/trace — избавляемся от обрывов и узких мест.","WireGuard — MTU/MSS-fix","Простая методика подбора MTU и проверка стабильности на разных маршрутах.","WireGuard","howto","—","Обрывы раз в N минут|Скорость «упирается»|Видеозвонки разваливаются","Подберите MTU через ping с DF|Включите MSS-clamp|Смените сервер/ASN","Packet too big|Fragmentation needed","Это безопасно?","Да, меняем только параметры инкапсуляции, сами ключи не трогаем.","Нужно на каждом устройстве?","Лучше на том узле, где поднимается туннель (клиент/роутер).","",false
/guide/openvpn-tcp443-setup-2025/,"OpenVPN через TCP:443 — «скрытый» режим для жёсткого DPI","Когда UDP режут, TCP:443 спасает. Даем конфиг-рекомендации и ограничения по скорости/задержкам.","OpenVPN TCP:443 — fallback","Настраиваем профиль для проходимости и объясняем, когда вернуться на UDP.","OpenVPN","howto","—","UDP не проходит|Постоянные обрывы|Порт 1194 закрыт","Перейдите на TCP:443|Включите obfs|Понизьте MSS|Проверьте сервер/ASN","TLS handshake failed|AUTH failed","Почему падает скорость?","TCP поверх TCP даёт накладные расходы — это временный режим.","Когда вернуться на UDP?","Как только маршрут стабилизируется и DPI перестанет резать.","",false
